,QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote,year
792,USGALLUP.1139.Q03B,"Reduce nuclear proliferation:  Limit nuclear arms on both sides, control nuclear power, cease manufacture of atomic weapons, more nuclear control.",4,"What do you think would be the advantages of such a treaty (SALT II, or Strategic Arms Limitation Treaty)?",* = less than .5 percent Adds to more than 100% due to multiple responses.,,10/1/1979,Gallup Organization,,Gallup Poll (AIPO),09/28/1979,10/1/1979,Y,National Adult,1520,Face-to-face interview,,1979
807,USGALLUP.1149.Q06B,"Reduce nuclear proliferation: Limit nuclear arms on both sides, control nuclear power, cease manufacture of atomic weapons, more nuclear control.",10,"What do you think would be the advantages of such a (SALT II, or Strategic Arms Limitation) treaty?",Adds to more than 100% due to multiple responses.,Heard or read about SALT II (77%),03/3/1980,Gallup Organization,,Gallup Poll (AIPO),02/29/1980,03/3/1980,Y,National Adult,1572,Face-to-face interview,,1980
818,USGALLUP.1163.Q05B,"Reduce nuclear proliferation:  Limit nuclear arms on both sides, control nuclear power, cease manufacture of atomic weapons, more nuclear control.",6,"What do you think would be the advantages of such a treaty (SALT II, the proposed nuclear arms agreement between the United States and the Soviet Union)?",* = less than .5 percent.  Multiple responses.,,10/13/1980,Gallup Organization,,Gallup Poll (AIPO),10/10/1980,10/13/1980,Y,National adult,1593,Face-to-face interview,,1980
833,USCPS.80POST.QH10A3,"For loosening of monetary restraints, lower interest rates",*,"In the (1980) campaign for the U.S. (United States) House of Representatives in this district, what would you say was the most important single issue? (Part three of five...see questions H10A1, H10A2, H10A4, and H10A5 for balance of responses)",* = less than .5 percent,,08/1/1982,"Survey Research Center at University of Michigan (ANES American National Election Studies); Center for Political Studies, University of Michigan",National Science Foundation (NSF),American National Election Study 1980 (Post-Election),11/4/1980,02/7/1981,Y,National adult,1408,Face-to-face interview,"The respondents were originally interviewed in the pre-election study of 1614 adults conducted September 2, 1980-November 3, 1980.",1980
852,USORC.80DEC.R04G,Do less,13,"(Now, let's turn to foreign affairs. I'm going to read some statements concerning various areas the federal government may be dealing with during the 1980's. As I read each statement, please tell me if you think the federal government should do more, should do less, or should continue to do about the same.)... Promoting nuclear arms control",,,12/1/1980,Opinion Research Corporation,,ORC Public Opinion Index,11/12/1980,11/16/1980,Y,National adult,1013,Telephone Interview,,1980
861,USCAMREP.81JUL.R266,Strongly support,23,"Recently, President (Ronald) Reagan announced his nuclear non-proliferation policy, stating that preventing the spread of nuclear weapons is a fundamental objective of the United States. He intends to strengthen international agencies, increase international cooperation, and have fewer unilateral U.S. restrictions on exports of U.S. nuclear electric power plants. Do you strongly support, somewhat support, somewhat oppose, or strongly oppose this policy?",,,07/1/1981,Cambridge Reports/Research International,,Cambridge Reports National Omnibus Survey,07/1/1981,07/31/1981,N,National adult,1500,Face-to-face interview,Sample size is approximate.,1981
887,USGALNEW.041682.R3,Verification,67,The major problem in arms control is the difficulty in verifying whether the other side is complying with the agreement. Some people feel that verification is essential for such an agreement. Others feel that it is more important for the United States to halt the growth of its nuclear arsenal even if we cannot be sure the other side is doing the same. Which is more important in your view?,,,04/16/1982,Gallup Organization,Newsweek,Gallup/Newsweek Poll,03/17/1982,03/18/1982,Y,National adult,757,Telephone Interview,,1982
890,USLAT.58.R69,Haven't heard enough,35,"Strategic Arms Reduction talks--called START--are due to begin (began) in Geneva on June 29th. (1982). Do you think these negotiations on nuclear weapons control will end in success, or do you think they will end in failure--or haven't you heard enough about that yet to say?",* = less than .5 percent,,07/1/1982,Los Angeles Times,,Los Angeles Times Poll,06/27/1982,07/8/1982,Y,National adult,1102,Telephone Interview,,1982
896,USORC.83JAN.R01O,Excellent,7,"(When President Reagan first took office in 1980, people had a number of expectations of what his Administration might be able to accomplish. I'd like you to evaluate the kind of job you think the Reagan Administration has done in several areas. For each one, please tell me whether you think the Administration has done an excellent job, a good job, only a fair job, or a poor job)...working toward nuclear arms control.",,,01/1/1983,Opinion Research Corporation,,ORC Public Opinion Index,12/9/1982,12/14/1982,Y,National adult,1005,Telephone Interview,,1982
904,USHARRIS.030783.R7,Positive,32,"'Now let me ask you about some specific things President Reagan has done. How would you rate him on his handling of nuclear arms reduction negotiations with the Russians -- excellent, pretty good, only fair, or poor?'",Positive = Excellent and pretty good Negative = Only fair and poor,,03/7/1983,Louis Harris & Associates,,Harris Survey,02/11/1983,02/16/1983,Y,National Adults,1248,Telephone Interview,,1983
907,USHARRIS.040483.R8,Positive,29,"(Now let me ask you about some specific things President Reagan has done.) How would you rate him on (Read each item) his handling of nuclear arms reduction negotiations with the Russians -- excellent, pretty good, only fair, or poor?",Positive = excellent and pretty good Negative = only fair and poor,,04/4/1983,Louis Harris & Associates,,Harris Survey,03/17/1983,03/20/1983,Y,National Adult,1254,Telephone Interview,,1983
910,USHARRIS.042583.R7,Positive,30,Now let me ask you about some specific things President Reagan has done. How would you rate him on his handling of nuclear arms reduction negotiations with the Russians?,Positive = excellent and pretty good Negative = only fair and poor,,04/25/1983,Louis Harris & Associates,,Harris Survey,04/7/1983,04/10/1983,Y,National Adult,1250,Telephone Interview,,1983
913,USHARRBW.051683.RK,Excellent,9,"How would you rate President Reagan on his handling of nuclear arms reduction negotiations with the Russians -- excellent, pretty good, only fair, or poor?",,,05/16/1983,Louis Harris & Associates,Business Week Magazine,Business Week/Harris Poll,04/20/1983,04/25/1983,Y,National Adult,1253,Telephone Interview,,1983
918,USHARRIS.051983.R8,Positive,33,"(Now let me ask you about some specific things President Reagan has done.) How would you rate him on his handling of nuclear arms reduction negotiations with the Russians -- excellent, pretty good, only fair, or poor?",Positive = excellent and pretty good Negative = only fair and poor,,05/19/1983,Louis Harris & Associates,,Harris Survey,04/29/1983,05/1/1983,Y,National Adult,1250,Telephone Interview,,1983
921,USHARRIS.062783.R4,Positive,31,"(Now let me ask you about some specific things President Reagan has done.) How would you rate him on his handling of nuclear arms reduction negotiations with the Russians -- excellent, pretty good, only fair, or poor?",Positive = excellent and pretty good Negative = only fair and poor,,06/27/1983,Louis Harris & Associates,,Harris Survey,06/7/1983,06/11/1983,Y,National Adult,1250,Telephone Interview,,1983
924,USYANK.835632.R38,Concentrate on military buildup,43,President Reagan has said that the only way to deal with the Soviets is to be tough and has requested a substantial increase in military spending. Others say that this policy will lead to a stepped-up arms race and increase the risk of nuclear war. They urge smaller increases in defense spending and more emphasis on arms control agreements instead. Which do you agree with...We should concentrate on military buildup or we should concentrate on arms control?,,Registered voters,06/1/1983,"Yankelovich, Skelly & White",Time Magazine,"Time/Yankelovich, Skelly & White Poll",06/27/1983,06/29/1983,Y,Registered voters,1007,Telephone Interview,,1983
926,USHARRIS.112883.R11,Positive,39,"(Now let me ask you about some specific things President Reagan has done.) How would you rate him on his handling of nuclear arms reduction negotiations with the Russians -- Excellent, pretty good, only fair, or poor?",Positive = Excellent and pretty good Negative = Only fair and poor,,11/28/1983,Louis Harris & Associates,,Harris Survey,11/9/1983,11/14/1983,Y,National Adult,1252,Telephone Interview,,1983
929,USHARRIS.111083.R2E,Positive,42,"(Now let me ask you about some specific things President Reagan has done. How would you rate him on) His handling of nuclear arms reduction negotiations with the Russians -- excellent, pretty good, only fair, or poor?",Positive = Excellent and pretty good Negative = Only fair and poor,,11/10/1983,Louis Harris & Associates,,Harris Survey,10/28/1983,10/31/1983,Y,National Adults,1254,Telephone Interview,,1983
932,USHARRIS.092983.R7,Positive,40,"(Now let me ask you about some specific things President Reagan has done.) How would you rate him on his handling of nuclear arms reduction negotiations with the Russians-- excellent, pretty good, only fair, or poor?",Positive = excellent and pretty good Negative = only fair and poor,,09/29/1983,Louis Harris & Associates,,Harris Survey,09/9/1983,09/14/1983,Y,National Adult,1255,Telephone Interview,,1983
935,USHARRIS.082283.R7,Positive,32,"(Now let me ask you about some specific things President Reagan has done.) How would you rate him on his handling of nuclear arms reduction negotiations with the Russians -- excellent, pretty good, only fair, or poor?",Positive = excellent and pretty good Negative = only fair and poor,,08/22/1983,Louis Harris & Associates,,Harris Survey,07/14/1983,07/18/1983,Y,National Adult,1252,Telephone Interview,,1983
938,USPENN.84NUKA.R02,Favor,30,"Here are different arms control propositions. For each one, tell me whether you favor or oppose it. A unilateral halt by the US (United States) of all production and all deployment of new nuclear weapons, regardless of whether the Soviets decide to continue building up weapons. Do you favor or oppose this?",,,04/19/1984,Penn & Schoen Associates,Committee on the Present Danger,Nuclear Freeze And Nuclear Arms Survey,03/31/1984,04/2/1984,Y,National adult,1000,Telephone Interview,,1984
947,USHARRIS.082384.R6,Positive,35,"(Now let me ask you about some specific things President Reagan has done.) How would you rate him on...his handling of nuclear arms reduction negotiations with the Russians--excellent, pretty good, only fair, or poor?",Based on responses of likely voters = 78%. Positive = Excellent/ Pretty good.  Negative = Only fair/Poor.,Likely voters.,08/23/1984,Louis Harris & Associates,,Harris Survey,07/20/1984,07/24/1984,Y,Eligible voters,1620,Telephone Interview,,1984
950,USYANK.845673.Q27C,Is handling properly,46,"In dealing with the nuclear arms control issue, do you feel that the Reagan Administration is handling it properly or is not handling it properly?",,,08/9/1984,"Yankelovich, Skelly & White",Time Magazine,"Time/Yankelovich, Skelly & White Poll",08/7/1984,08/9/1984,Y,Registered voters,1018,Telephone Interview,,1984
953,USHARRIS.092484.R11,Positive,36,"(Now let me ask you about some specific things President Reagan has done.) How would you rate him on...His handling of nuclear arms reduction negotiations with the Russians--excellent, pretty good, only fair, or poor?",Based on likely voters = 61% Positive = Excellent and pretty good.  Negative = Only fair and poor.,Likely voters,09/24/1984,Louis Harris & Associates,Business Week Magazine,Harris Survey,09/5/1984,09/9/1984,Y,National adult,1999,Telephone Interview,,1984
956,USCBSNYT.OC84-1.R12,"Yes, abortion",4,"Is there any one issue that is so important to you that you would change your vote because you disagreed with a candidate's position on that single issue? (If yes, ask:) What issue is that?",Total with a single issue = 25% of registered voters.,Registered voters (73%),10/1/1984,CBS News; New York Times,,CBS News/New York Times Poll,09/30/1984,10/4/1984,Y,National Adult,1748,Telephone Interview,,1984
972,USCAMREP.84OCT.R161,"Hasn't balanced budget, national deficit, federal deficit, overspending",18,What do you feel is the biggest failure of the Reagan Administration so far?,,,10/1/1984,Cambridge Reports/Research International,,Cambridge Reports National Omnibus Survey,10/1/1984,10/31/1984,N,National adult,1500,Face-to-face interview,Sample size is approximate.,1984
984,USHARRIS.101984.R6,Positive,40,"(Now let me ask you about some specific things President Reagan has done.) How would you rate him on...His handling of nuclear arms reduction negotiations with the Russians--excellent, pretty good, only fair, or poor?",Based on responses of likely voters = 70%. Positive = excellent and pretty good.  Negative = only fair and poor.,Likely voters,10/19/1984,Louis Harris & Associates,,Harris Survey,10/12/1984,10/14/1984,Y,National Adult,1998,Telephone Interview,,1984
987,USCBSNYT.OC84-2.R33,Take advantage,50,"After the election, suppose the next President announced that the United States would stop testing all nuclear and space weapons. Do you think that would lead the Soviet Union to take advantage of our new policy, or would they be more likely to start negotiating seriously about arms control?",,Registered voters (73%),10/1/1984,CBS News; New York Times,,CBS News/New York Times Poll,10/14/1984,10/17/1984,Y,National Adult,1809,Telephone Interview,,1984
990,USYANK.845701.Q37C,Is handling properly,49,"In dealing with the nuclear arms control issue, do you feel that the Reagan Administration is handling it properly or is not handling it properly?",,,10/25/1984,"Yankelovich, Skelly & White",Time Magazine,"Time/Yankelovich, Skelly & White Poll",10/23/1984,10/25/1984,Y,Registered voters,1014,Telephone Interview,,1984
993,USLAT.90.RE,"No issues, really",11,Which issues-if any-were most important to you in deciding whom to vote for (for President)? (Check up to 2 boxes),Adds to more than 100% due to multiple responses.,,11/6/1984,Los Angeles Times,,Los Angeles Times Exit Poll 1984,11/6/1984,11/6/1984,Y,Exiting Voters,7311,Mail Questionnaire/Self-enumerated questionnaire,Self administered printed questionnaire,1984
1004,USROPER.85-1.R12H,Expected of him,44,"(Here are some things various people have said are likely to happen once President Reagan is in his second term as President. Would you read down that list and for each one will you tell me whether you think it is something that can be expected of him during the next four years, or something that cannot be expected of him?)... He will reach an agreement with Russia on nuclear arms control",,,02/8/1985,The Roper Organization,,Roper Report 85-1,12/1/1984,12/8/1984,Y,National Adult,1976,Face-to-face interview,,1984
1007,USHARRIS.120684.R3,Possible,40,"One of the problems in any nuclear arms control agreement between the U.S. (United States) and Russia is the question of verification--how to be sure each side is living up to what has been agreed upon. Do you think it is possible or not to come to a nuclear arms control agreement with the Russians, under which each side would be able to accurately determine if the other is living up to the agreement?",,,12/6/1984,Louis Harris & Associates,,Harris Survey,11/26/1984,11/29/1984,Y,National adult,1255,Telephone Interview,,1984
1010,USCBSNYT.JAN851.R15,"Yes, make a difference",56,"Do you think the chances of nuclear arms control would be substantially increased if the President of the United States and the head of the Soviet Union met every year, or wouldn't it make much difference?",,,01/1/1985,CBS News; New York Times,,CBS News/New York Times Poll,01/2/1985,01/4/1985,Y,National Adult,1525,Telephone Interview,,1985
1023,USLAT.94.R14,Farm,3,"In your opinion, what is the biggest problem facing the country today? (If 'economy or 'national defense,' etc.) What specific (economic/national defense, etc.) issues do you mean?",,,02/1/1985,Los Angeles Times,,Los Angeles Times Poll,02/23/1985,02/28/1985,Y,National Adult and Journalists,6158,Telephone Interview,Release also reports comparative responses from samples of editors and newspaper staff members,1985
1054,USCBSNYT.FEB852.R22,Will,34,"Do you think the meeting in Geneva, held earlier this year, will or will not lead to real nuclear arms control agreements?",,,02/27/1985,CBS News; New York Times,,CBS News/New York Times Poll,02/23/1985,02/27/1985,Y,National Adult,1533,Telephone Interview,,1985
1057,USGALNEW.85138.RBB,One of the most important,56,"(We'd like your opinion on what the nation's priorities should be over the next few years. I will read you some possible areas for improvement. For each, tell me if this should be one of our most important priorities, important but not one of the most important priorities, or not an important priority.)... Negotiating a nuclear arms control treaty with the Soviet Union",,,05/1/1985,Gallup Organization,Newsweek Magazine,Gallup/Newsweek Poll,05/29/1985,05/30/1985,Y,National adult,759,Telephone Interview,,1985
1061,USGALNEW.85152.R15B,One of the most important,58,"(We'd like your opinion on what the nation's priorities should be over the next few years. I will read you some possible areas of improvement. For each, tell me if this should be one of our most important priorities, important but not one of the most important priorities, or not an important priority.)... Negotiating a nuclear arms control treaty with the Soviet Union",,,06/1/1985,Gallup Organization,Newsweek Magazine,Gallup/Newsweek Poll,06/20/1985,06/21/1985,Y,National adult,1016,Telephone Interview,,1985
1065,USYANK.855731.Q27,Very important,58,"The United States and the Soviet Union are currently engaged in nuclear arms control talks in Geneva, Switzerland. How important do you think these nuclear arms control talks are?",,,07/25/1985,"Yankelovich, Skelly & White",Time Magazine,"Time/Yankelovich, Skelly & White Poll",07/23/1985,07/25/1985,Y,Registered voters,1013,Telephone Interview,,1985
1069,USCAMREP.85OCT.R157,"Hasn't balanced budget, national deficit, federal deficit, overspending",23,What do you feel is the biggest failure of the Reagan Administration so far?,,,10/1/1985,Cambridge Reports/Research International,,Cambridge Reports National Omnibus Survey,10/1/1985,10/31/1985,N,National adult,1500,Face-to-face interview,Sample size is approximate.,1985
1081,USHARRBW.111185.RB,Agreement on major nuclear arms control,6,"Arms control will be one of the principal items on the agenda at the (Reagan-Gorbachev) summit. In general, what do you expect to come out of the summit with regard to arms control--agreement on a major plan to control nuclear arms, agreement on a minor plan to control nuclear arms, some signs of progress on arms control but no formal agreement, or little or no progress towards arms control?",,,11/11/1985,Louis Harris & Associates,Business Week Magazine,Business Week/Harris Poll,10/23/1985,10/27/1985,Y,National adult,1252,Telephone Interview,,1985
1086,USABCWP.206.R22,For U.S. to develop space weapons For U.S. and Soviet Union to agree,20,"In general, which would you say is more important: for the United States to develop space based weapons to defend against nuclear attack, or for the U.S. and the Soviet Union to agree to a substantial reduction of nuclear arms by both countries?",,,11/1/1985,Chilton Research Services,ABC News; Washington Post,ABC News/Washington Post Poll,10/24/1985,10/28/1985,Y,National adult,1506,Telephone Interview,,1985
1090,USLAT.100.R63,Concentrate nuclear arms control,20,"Do you think the (November 1985 Reagan-Gorbachev) summit conference in Geneva should concentrate on nuclear arms control...or do you think the American plan for peace talks in Afghanistan, Angola, Cambodia, Ethiopia, and Nicaragua should also come up for discussion?",,,11/1/1985,Los Angeles Times,,Los Angeles Times Poll,11/1/1985,11/7/1985,Y,National adult,2041,Telephone Interview,,1985
1102,USCBSNYT.112185.R13,Develop Star Wars,31,"If it came down to only these choices, what should the United States do--work to develop a Star Wars (space-based defense) system and give up negotiating an arms control agreement, or work to negotiate an arms control agreement, or work to negotiate a reduction in nuclear missiles and give up Star Wars?",,,11/21/1985,CBS News,,CBS News/New York Times Poll,11/2/1985,11/2/1985,Y,National adult,800,Telephone Interview,,1985
1105,USABCWP.209.R25,For U.S. to develop space weapons For U.S. and Soviet Union to agree to,21,"In general, which would you say is more important: For the United States to develop space based weapons to defend against nuclear attack, or for the U.S. and the Soviet Union to agree to a substantial reduction of nuclear arms by both countries?",,,11/1/1985,Chilton Research Services,ABC News; Washington Post,ABC News/Washington Post Poll,11/10/1985,11/13/1985,Y,National adult,1507,Telephone Interview,,1985
1109,USCBSNYT.85RELG.R01,Arms control/Geneva summit,4,What do you think is the most important problem facing this country today?,,,11/20/1985,CBS News; New York Times,,CBS News/New York Times Poll,11/18/1985,11/19/1985,Y,National Adult,927,Telephone Interview,,1985
1130,USHARRIS.112685.R09,Highly significant,40,"(Missing from any agreement at the (November 1985) summit (between Reagan and Gorbachev) were the following things. For each, tell me if you think it is highly significant that nothing was done on them, somewhat significant, not very significant, or hardly significant at all.)... No agreement on nuclear arms reduction.",,,11/26/1985,Louis Harris & Associates,,Harris Survey,11/22/1985,11/24/1985,Y,National adult,1258,Telephone Interview,,1985
1135,USNYT.120085.R06,Economy,10,What do you think is the most important problem facing the country today?,,,12/1/1985,New York Times,,New York Times Poll,12/14/1985,12/18/1985,Y,National Adult,1354,Telephone Interview,,1985
1150,USNBCWSJ.322586.R22,Reforming the federal income tax system,11,"Which do you think is the most important issue facing the country today: reforming the federal income tax system, reaching a nuclear arms control agreement with the Soviet Union, reducing the federal budget deficit, or reducing the foreign trade deficit?",,,02/25/1986,NBC News; Wall Street Journal,,NBC News/Wall Street Journal Poll,02/6/1986,02/7/1986,Y,National Adult,1597,Telephone Interview,,1986
1156,USCBSNYT.041486.R04,War/Nuclear war,10,What do you think is the most important problem facing this country today?,,,04/14/1986,CBS News; New York Times,,CBS News/New York Times Poll,04/6/1986,04/10/1986,Y,National Adult,1601,Telephone Interview,,1986
1174,USHARRIS.062386.R3C,Agree,61,"(Now let me read you some statements about President Reagan's decision to not live up to the SALT II (Strategic Arms Limitation) treaty. For each, tell me if you tend to agree or disagree.)... By getting rid of SALT II, we are making the Russians face the fact that only by making a new arms reduction agreement can the nuclear arms race be controlled.",,,06/23/1986,Louis Harris & Associates,,Harris Survey,06/11/1986,06/16/1986,Y,National adult,1250,Telephone Interview,,1986
1180,USCBSNYT.080086.R02,Drugs,13,What do you think is the most important problem facing this country today?,,,08/1/1986,CBS News; New York Times,,CBS News/New York Times Poll,08/18/1986,08/21/1986,Y,National Adult,1210,Telephone Interview,,1986
1201,USYANKCS.092486.R08E,More likely,45,"(Here are some positions that candidates may take when running for Congress. As I read each, please tell me whether you are more likely to vote for a candidate taking that position, less likely, or whether it would make no difference in how you vote.)...Favors cutting back substantially in our nuclear weapons in order to reach an arms control agreement with the Soviet Union",,,09/24/1986,Yankelovich Clancy Shulman,Time Magazine,Time/Yankelovich Clancy Shulman Poll,09/8/1986,09/10/1986,Y,National adult,1014,Telephone Interview,,1986
1205,USCBSNYT.100686.R19,Other economy/Inflation,21,What do you think is the most important problem facing this country today?,,Probable electorate (70%),10/6/1986,CBS News; New York Times,,CBS News/New York Times Poll,09/28/1986,10/1/1986,Y,National Adult,1525,Telephone Interview,,1986
1232,USYANKCS.102086.R02,Agreement still possible,62,"Do you think it is still (after the Iceland summit) possible for Reagan and Gorbachev to reach an agreement to reduce nuclear weapons, or do you think there's little chance to reach an arms control agreement while Reagan is still President?",,Followed summit news (62%),10/20/1986,Yankelovich Clancy Shulman,Time Magazine,Time/Yankelovich Clancy Shulman Poll,10/15/1986,10/15/1986,Y,National adult,806,Telephone Interview,,1986
1235,USABCWP.866735.R10,"Yes, U.S. should agree to that",34,"Reagan says it is essential for the U.S. to develop space based weapons to defend the United States against nuclear attack. Opponents say such weapons will increase the arms race and cost many billions of dollars. Suppose the only way to get an arms reduction agreement with the Soviet Union is for the U.S. to stop development of space based weapons. Should the U.S. agree to that, or not?",,,10/14/1986,Chilton Research Services,ABC News; Washington Post,ABC News/Washington Post Poll,10/14/1986,10/14/1986,Y,National Adult,768,Telephone Interview,,1986
1238,USABCWP.6536R.Q06,"Yes, should agree to stop development",32,President (Ronald) Reagan says it's essential for the U.S. to develop space-based weapons to defend the United States against nuclear attack. He calls the space-based system the Strategic Defense Initiative or S.D.I. Opponents say that S.D.I. will increase the arms race and cost many billions of dollars. Suppose the only way to get an arms reduction agreement with the Soviet Union is for the U.S. to stop development of space-based weapons. Should the U.S. agree to that or not?,,,11/1/1986,ABC News; Washington Post,,ABC News/Washington Post Poll,10/23/1986,10/29/1986,Y,National adult registered voters re-interviewed (see note),6431,Telephone Interview,"This is a re-interview of 6431 of the 8645 respondents originally interviewed September 18-28, 1986.",1986
1241,USCBSNYT.103086.R02,War/Nuclear war,7,What do you think is the most important problem facing this country today?,Adds to more than 100% due to multiple responses,,10/30/1986,CBS News; New York Times,,CBS News/New York Times Poll,10/24/1986,10/28/1986,Y,National Adult,2016,Telephone Interview,,1986
1268,USGALLUP.86CFRP.R02,Inflation,8,What do you feel are the two or three biggest problems facing the country today?,Adds to more than 100% due to multiple responses,,03/1/1987,Gallup Organization,The Chicago Council on Foreign Relations,Gallup/CCFR Survey of American Public Opinion and U.S. Foreign Policy 1986,10/30/1986,11/12/1986,Y,National Adult,1585,Face-to-face interview,,1986
1351,USCBSNYT.86ELEC.QD,Competition from foreign goods,12,"Which issues mattered most in deciding how you voted for US (United States) House of Representatives (1986)? Competition from foreign goods, controlling federal spending, nuclear or toxic wastes, helping the poor, defense/arms control, Social Security, the economy, family values, illegal drugs",Adds to more than 100% due to multiple responses,,11/1/1986,CBS News; New York Times,,CBS News/New York Times Exit Poll,11/4/1986,11/4/1986,Y,Exiting Voters,8994,Mail Questionnaire/Self-enumerated questionnaire,,1986
1360,USLAT.112B.R110,Federal budget deficit,37,"What do you think is the most important problem facing this country today: The federal budget deficit, or farm problems, or inflation, or nuclear arms control, or the moral decline in the nation, or the balance of foreign trade, or the Iran-Contra affair, or unemployment, or what? I could repeat those, if you wish. Is there another problem you consider almost as important?",Adds to more than 100% due to multiple responses Up to two replies accepted,,05/1/1987,Los Angeles Times,,Los Angeles Times Poll,12/6/1986,05/9/1987,Y,National adult including a callback sample,1800,Telephone Interview,Reinterviews of 1118 adults from a previous survey of 1800 adults conducted 12/6 - 9/86.,1986
1370,USCBSNYT.86DEC.R03,"War, nuclear war",6,What do you think is the most important problem facing this country today?,,,12/1/1986,CBS News; New York Times,,CBS News/New York Times Poll,12/7/1986,12/8/1986,Y,National Adult,1036,Telephone Interview,,1986
1400,USCBSNYT.87JAN.R04,"War, nuclear war",5,What do you think is the most important problem facing this country today?,,,01/1/1987,CBS News; New York Times,,CBS News/New York Times Poll,01/18/1987,01/21/1987,Y,National Adult,1590,Telephone Interview,,1987
1429,USLAT.114.R10,Federal budget deficit,27,"What do you think is the most important problem facing this country today: the federal budget deficit, or farm problems, or catastrophic health insurance, or nuclear arms control, or tax increases, or the balance of foreign trade, or unemployment, or welfare reform or what? (Wait for reply) Is there another problem you consider almost as important?",Adds to more than 100% due to multiple responses. Up to two responses accepted.,,02/1/1987,Los Angeles Times,,Los Angeles Times Poll,02/20/1987,03/7/1987,Y,National adult: Recall of respondents from survey 114,2346,Telephone Interview,,1987
1439,USPENN.87ARMS.R09,Adhering,16,Do you believe that the Soviet Union is adhering to or violating existing nuclear arms control agreements?,,,04/15/1987,Penn & Schoen Associates,Committee on the Present Danger,Attitudes Toward Arms Control Survey,04/3/1987,04/5/1987,Y,National adult,1004,Telephone Interview,,1987
1442,USHARRIS.87KEY.R6D02,Favor,50,Do you favor or oppose... the U.S. agreeing not to test President Reagan's Star Wars nuclear defense system in return for a nuclear arms reduction agreement with the Russians?,,,07/1/1987,Louis Harris & Associates,Democratic Governors Association; Democrats for the 80s,Key Issues In The Country In 1987,07/17/1987,07/22/1987,Y,National--Likely Voters,1261,Telephone Interview,Sponsored by the Democratic Governors Association and Democrats for the 80's.,1987
1445,USROPER.87-9.R19L,A lot,15,"(Here are a number of things that can affect our lives in this country. Would you read down that list, and for each one tell me how much effect you think the opinion of the American people can have on it--a lot, some, very little, or none?)...Nuclear arms reduction",,,12/1/1987,The Roper Organization,,Roper Report 87-9,09/19/1987,09/26/1987,Y,National adult,1989,Face-to-face interview,,1987
1450,USCBSNYT.102787.R04,Economy,14,"What do you think is the most important problem facing this country today? (If 'Don't know,' ask:) Are you sure there isn't one problem facing our country that you think is most important?",,,10/27/1987,CBS News; New York Times,,CBS News/New York Times Poll,10/18/1987,10/22/1987,Y,National Adult,1326,Telephone Interview,,1987
1484,USHARRIS.011188.R1B,"Yes, will happen",69,"In 1988, do you think these things will happen or not?... The nuclear arms control agreement with the Soviet Union will be ratified by the Senate",,,01/11/1988,Louis Harris & Associates,,Harris Survey,12/9/1987,12/13/1987,Y,National adult,1250,Telephone Interview,,1987
1490,USABCWP.275.R22,Favor,61,Would you favor or oppose the U.S. and the Soviet Union signing another arms control agreement that would eliminate half of all the long-range strategic nuclear missiles each country has or is that something you don't have an opinion on?,,,12/14/1987,ABC News; Washington Post,,ABC News/Washington Post Poll,12/11/1987,12/13/1987,Y,National adult,1005,Telephone Interview,,1987
1504,USNBCWSJ.88JAN.R07,Yes,67,"Do you think the United States Senate should ratify the arms control agreement between the United States and the Soviet Union that eliminates medium-range nuclear missiles from Europe, or not?",,,01/1/1988,NBC News; Wall Street Journal,,NBC News/Wall Street Journal Poll,01/20/1988,01/22/1988,Y,National adult,2392,Telephone Interview,,1988
1518,USCBSNYT.102588.R14,Economy/Inflation,11,"As far as you are concerned, what would be the most important issue in this (1988 Presidential) election?",,Probable electorate,10/25/1988,CBS News; New York Times,,CBS News/New York Times Poll,10/21/1988,10/24/1988,Y,National Adult,1827,Telephone Interview,Responses were weighted for participation in previous elections and intention to vote in November to create a probable electorate.,1988
1542,USCPS.88POST.QC05B,"Extremist groups/terrorists General mention of morality/traditional values, sex, bad language, pornography, teenage",*,"In the campaign (1988) in this district for the U.S. (United States) House of Representatives, what would you say was the single most important issue to you? (Second half of question/responses. First half QC05A)",* = less than .5 percent There were two other mentions allowed which are available,,12/1/1989,"Survey Research Center at University of Michigan (ANES American National Election Studies); Center for Political Studies, University of Michigan",National Science Foundation,American National Election Study 1988 (Post-Election),11/8/1988,01/30/1989,Y,National adult,1775,Face-to-face interview,"The respondents were originally interviewed in the pre-election study of 2040 adults conducted September 6-November 7, 1988.",1988
1609,USHARRIS.112488.R2A,"Yes, thankful",83,"This Thanksgiving, will you feel thankful or not... because real progress is being made on nuclear arms reduction between the U.S. and the Soviet Union?",,,11/24/1988,Louis Harris & Associates,,Harris Poll,11/11/1988,11/14/1988,Y,National Adult,1251,Telephone Interview,,1988
